service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
100-TR1,1,1,1,1,1,0,0,20201005,20201204
101-TR1,1,1,1,1,1,0,0,20201005,20201204
102-TR1,1,1,1,1,1,0,0,20201005,20201204
103-TR1,1,1,1,1,1,0,0,20201005,20201204
104-TR1,1,1,1,1,1,0,0,20201005,20201204
105-TR1,1,1,1,1,1,0,0,20201005,20201204
106-TR1,1,1,1,1,1,0,0,20201005,20201204
107-TR1,1,1,1,1,1,0,0,20201005,20201204
108-TR1,1,1,1,1,1,0,0,20201005,20201204
109-TR1,1,1,1,1,1,0,0,20201005,20201204
10-TR1,1,1,1,1,1,0,0,20201005,20201204
110-TR1,1,1,1,1,1,0,0,20201005,20201204
111-TR1,1,1,1,1,1,0,0,20201005,20201204
112-TR1,1,1,1,1,1,0,0,20201005,20201204
113-TR1,1,1,1,1,1,0,0,20201005,20201204
114-TR1,1,1,1,1,1,0,0,20201005,20201204
115-TR1,1,1,1,1,1,0,0,20201005,20201204
116-TR1,1,1,1,1,1,0,0,20201005,20201204
117-TR1,1,1,1,1,1,0,0,20201005,20201204
118-TR1,0,0,0,0,0,1,0,20201010,20201205
119-TR1,0,0,0,0,0,1,0,20201010,20201205
11-TR1,1,1,1,1,1,0,0,20201005,20201204
120-TR1,0,0,0,0,0,1,0,20201010,20201205
121-TR1,0,0,0,0,0,1,0,20201010,20201205
122-TR1,0,0,0,0,0,1,0,20201010,20201205
123-TR1,0,0,0,0,0,1,0,20201010,20201205
124-TR1,0,0,0,0,0,1,0,20201010,20201205
125-TR1,0,0,0,0,0,1,0,20201010,20201205
126-TR1,0,0,0,0,0,1,0,20201010,20201205
127-TR1,0,0,0,0,0,1,0,20201010,20201205
128-TR1,0,0,0,0,0,1,0,20201010,20201205
129-TR1,0,0,0,0,0,1,0,20201010,20201205
12-TR1,1,1,1,1,1,0,0,20201005,20201204
130-TR1,0,0,0,0,0,1,0,20201010,20201205
131-TR1,0,0,0,0,0,1,0,20201010,20201205
133-TR1,0,0,0,0,0,1,0,20201010,20201205
134-TR1,0,0,0,0,0,1,0,20201010,20201205
135-TR1,0,0,0,0,0,1,0,20201010,20201205
136-TR1,0,0,0,0,0,1,0,20201010,20201205
137-TR1,0,0,0,0,0,1,0,20201010,20201205
138-TR1,0,0,0,0,0,1,0,20201010,20201205
139-TR1,0,0,0,0,0,1,0,20201010,20201205
13-TR1,1,1,1,1,1,0,0,20201005,20201204
144-TR1,0,0,0,0,0,1,0,20201010,20201205
146-TR1,0,0,0,0,0,1,0,20201010,20201205
