service_id,date,exception_type
100-TR1,20201019,2
100-TR1,20201020,2
100-TR1,20201021,2
100-TR1,20201022,2
100-TR1,20201023,2
100-TR1,20201026,2
100-TR1,20201027,2
100-TR1,20201028,2
100-TR1,20201029,2
100-TR1,20201030,2
100-TR1,20201111,2
101-TR1,20201019,2
101-TR1,20201020,2
101-TR1,20201021,2
101-TR1,20201022,2
101-TR1,20201023,2
101-TR1,20201026,2
101-TR1,20201027,2
101-TR1,20201028,2
101-TR1,20201029,2
101-TR1,20201030,2
101-TR1,20201111,2
102-TR1,20201019,2
102-TR1,20201020,2
102-TR1,20201021,2
102-TR1,20201022,2
102-TR1,20201023,2
102-TR1,20201026,2
102-TR1,20201027,2
102-TR1,20201028,2
102-TR1,20201029,2
102-TR1,20201030,2
102-TR1,20201111,2
103-TR1,20201019,2
103-TR1,20201020,2
103-TR1,20201021,2
103-TR1,20201022,2
103-TR1,20201023,2
103-TR1,20201026,2
103-TR1,20201027,2
103-TR1,20201028,2
103-TR1,20201029,2
103-TR1,20201030,2
103-TR1,20201111,2
104-TR1,20201019,2
104-TR1,20201020,2
104-TR1,20201021,2
104-TR1,20201022,2
104-TR1,20201023,2
104-TR1,20201026,2
104-TR1,20201027,2
104-TR1,20201028,2
104-TR1,20201029,2
104-TR1,20201030,2
104-TR1,20201111,2
105-TR1,20201019,2
105-TR1,20201020,2
105-TR1,20201021,2
105-TR1,20201022,2
105-TR1,20201023,2
105-TR1,20201026,2
105-TR1,20201027,2
105-TR1,20201028,2
105-TR1,20201029,2
105-TR1,20201030,2
105-TR1,20201111,2
106-TR1,20201019,2
106-TR1,20201020,2
106-TR1,20201021,2
106-TR1,20201022,2
106-TR1,20201023,2
106-TR1,20201026,2
106-TR1,20201027,2
106-TR1,20201028,2
106-TR1,20201029,2
106-TR1,20201030,2
106-TR1,20201111,2
107-TR1,20201019,2
107-TR1,20201020,2
107-TR1,20201021,2
107-TR1,20201022,2
107-TR1,20201023,2
107-TR1,20201026,2
107-TR1,20201027,2
107-TR1,20201028,2
107-TR1,20201029,2
107-TR1,20201030,2
107-TR1,20201111,2
108-TR1,20201019,2
108-TR1,20201020,2
108-TR1,20201021,2
108-TR1,20201022,2
108-TR1,20201023,2
108-TR1,20201026,2
108-TR1,20201027,2
108-TR1,20201028,2
108-TR1,20201029,2
108-TR1,20201030,2
108-TR1,20201111,2
109-TR1,20201019,2
109-TR1,20201020,2
109-TR1,20201021,2
109-TR1,20201022,2
109-TR1,20201023,2
109-TR1,20201026,2
109-TR1,20201027,2
109-TR1,20201028,2
109-TR1,20201029,2
109-TR1,20201030,2
109-TR1,20201111,2
10-TR1,20201019,2
10-TR1,20201020,2
10-TR1,20201021,2
10-TR1,20201022,2
10-TR1,20201023,2
10-TR1,20201026,2
10-TR1,20201027,2
10-TR1,20201028,2
10-TR1,20201029,2
10-TR1,20201030,2
10-TR1,20201111,2
110-TR1,20201019,2
110-TR1,20201020,2
110-TR1,20201021,2
110-TR1,20201022,2
110-TR1,20201023,2
110-TR1,20201026,2
110-TR1,20201027,2
110-TR1,20201028,2
110-TR1,20201029,2
110-TR1,20201030,2
110-TR1,20201111,2
111-TR1,20201019,2
111-TR1,20201020,2
111-TR1,20201021,2
111-TR1,20201022,2
111-TR1,20201023,2
111-TR1,20201026,2
111-TR1,20201027,2
111-TR1,20201028,2
111-TR1,20201029,2
111-TR1,20201030,2
111-TR1,20201111,2
112-TR1,20201019,2
112-TR1,20201020,2
112-TR1,20201021,2
112-TR1,20201022,2
112-TR1,20201023,2
112-TR1,20201026,2
112-TR1,20201027,2
112-TR1,20201028,2
112-TR1,20201029,2
112-TR1,20201030,2
112-TR1,20201111,2
113-TR1,20201019,2
113-TR1,20201020,2
113-TR1,20201021,2
113-TR1,20201022,2
113-TR1,20201023,2
