stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type
101294,TOBZGO,Bouzigues,43.1466788188,5.90201084,0
101229,TOBAGO,Baguiers,43.1502522121,5.9027359698,0
101617,TOPGAO,Pt des Gaux,43.1537266815,5.9150760111,0
101180,SMMAIN,Mairie (St Mandrier),43.0769148558,5.9284597598,0
100662,OLPIEO,Piédardant,43.123591825,5.8469516991,0
100660,OLPIEE,Piédardant,43.123693914,5.8471298113,0
100241,GAPIEN,St Pierre,43.1068803975,5.9920714203,0
101358,TOCTLO,Castel,43.1101600278,5.9392867307,0
101715,TOSPIS,St Pierre des Moulins,43.1594957734,5.9192680967,0
101714,TOSPIN,St Pierre des Moulins,43.1595080524,5.9189002932,0
100753,REPILE,Pilon,43.1703644141,5.9231893275,0
100783,SEBALO,Balaguier,43.0950392953,5.9087284061,0
100754,REPILO,Pilon,43.170253062,5.9230226386,0
101660,TOPTAN,Pelletan,43.1097002053,5.9366433473,0
100149,GABOWS,Bowling,43.1436236372,6.0251013556,0
101621,TOPICN,Les Pins (Claret),43.1364038732,5.9218335996,0
101622,TOPICS,Les Pins (Claret),43.1364988375,5.9224903961,0
101625,TOPIVE,Les Pins (Valbertrand),43.1436140475,5.8951762817,0
101627,TOPIVO,Les Pins (Valbertrand),43.1437837639,5.8952113448,0
101340,TOCMSO,C.N.M.S.S.,43.1115176702,5.9419741267,0
102154,VAHSOS,Hameau du soleil,43.1475724403,5.9798190281,0
101197,TO3PIN,3 Pins (Ste Anne),43.1354921152,5.932681906,0
100820,SECENN,Seyne Centre,43.1012133257,5.8833995614,0
101198,TO3PIO,3 Pins (Ste Anne),43.1359379883,5.9327957409,0
101654,TOPSJG,Pt  St Jean,43.1246232863,5.956338349,0
101656,TOPSJS,Pt St Jean,43.124516661,5.9557668346,0
100961,SEPLAN,Plane,43.0924238483,5.9021973729,0
100962,SEPLAS,Plane,43.0924254906,5.9024183559,0
100244,GAPLAS,Planquette,43.132477849,6.0173008852,0
100243,GAPLAN,Planquette,43.1324385869,6.0173966177,0
100663,OLPLAN,Plantade,43.1349518277,5.8441573348,0
101230,TOBALN,Balcons,43.1394963453,5.9237580004,0
100664,OLPLAS,Plantade,43.134947578,5.8445623106,0
101504,TOLIBN,Liberté,43.1255042466,5.9301422705,0
100213,GALISE,Liserons,43.1292440555,6.0218954438,0
101408,TOFLAO,Fort Lamalgue,43.1101442731,5.942698261,0
101484,TOJAMS,Jardin Mistral,43.1092289754,5.9458447069,0
101519,TOMACN,Macé,43.1376025999,5.9055747067,0
101520,TOMACS,Macé,43.1374704238,5.905763,0
101822,VAPONO,Ponant,43.132367463,5.9876366031,0
101821,VAPONE,Ponant,43.1323820753,5.987735773,0
101747,TOTOCN,Toucas,43.1102489201,5.9489406679,0
101231,TOBALS,Balcons,43.139375077,5.9244259131,0
101620,TOPIBE,Pinède (La Barre),43.1177360776,5.9592076538,0
101713,TOSPAS,St Paul,43.1109693716,5.9489122334,0
101227,TOBACO,Bon Accueil,43.1130021619,5.9457007796,0
100093,CRHDUN,Haute Durande,43.118372682,6.0776647509,0
100146,GAAPRS,Auberge Provençale,43.1346923154,6.0352869921,0
101637,TOPOLN,Polygone,43.1079227123,5.9319905255,0
101638,TOPOLS,Polygone,43.1077986466,5.9322037198,0
100145,GAAPRN,Auberge Provençale,43.1348410775,6.035407087,0
100125,CRRUYS,La Ruytèle,43.1315135662,6.0546455538,0
101643,TOPONO,Poncette,43.121233968,5.9807298625,0
101165,SMBAON,Baou,43.0726121835,5.9137898344,0
101642,TOPONE,Poncette,43.1210592871,5.9808415789,0
101596,TOPCAN,Pontcarral,43.1262470363,5.8973560095,0
101597,TOPCAS,Pontcarral,43.126229204,5.8987055259,0
101661,TOPTLE,Ponteil,43.1321280198,5.9187182466,0
101662,TOPTLO,Ponteil,43.1312683763,5.919413781,0
100967,SEPORO,Port (La Seyne),43.1005782871,5.882206793,0
101495,TOLAPN,Laporterie,43.127076698,5.9417088871,0
101496,TOLAPS,Laporterie,43.1269376308,5.9415651068,0
100246,GAPOSO,Poste (La Garde),43.1222506824,6.0099795622,0
100361,HYCDLN,Clair de Lune,43.0405454772,6.1250299319,0
100245,GAPOSE,Poste (La Garde),43.1224207776,6.0100026991,0
101657,TOPSTN,Poste (la Rode),43.1202618904,5.9427061354,0
101658,TOPSTS,Poste (la Rode),43.1201392153,5.942342404,0
101645,TOPOUE,Poudrière,43.1548791497,5.9155776782,0
101646,TOPOUO,Poudrière,43.1547208668,5.915469552,0
100247,GAPOUN,Pouverel,43.1130594793,5.9962818088,0
100248,GAPOUS,Pouverel,43.1130085592,5.9961926371,0
101650,TOPRAO,Prairie,43.1249022838,5.9661787249,0
101649,TOPRAE,Prairie,43.1251296721,5.9666350985,0
101677,TOREBN,Reboul,43.1127313196,5.9419887762,0
100304,HYAMIO,L'Amiral,43.094580733,6.1309426062,0
101671,TORAVO,M. Ravel,43.1135237167,5.9427626986,0
100996,SESEYS,La Seyne,43.101170282,5.8909447696,0
100995,SESEYN,La Seyne,43.1011743006,5.8905522827,0
101191,SMPREO,Président,43.0792369529,5.9230346811,0
101190,SMPREE,Président,43.0789293193,5.9233590385,0
100249,GAPREN,Prévert,43.1201708886,6.0011049728,0
100250,GAPRES,Prévert,43.1201710711,6.0013628184,0
101186,SMPINN,Pin Rolland,43.0770996751,5.9062416168,0
101670,TORAVE,M. Ravel,43.1133984822,5.9427425756,0
101694,TOROOE,F. Roosevelt,43.1193445019,5.9384252924,0
100411,HYFDHE,Font des Horts,43.0864695044,6.1219897512,0
101187,SMPINO,Pin Rolland,43.0774504786,5.9048893436,0
101188,SMPINS,Pin Rolland,43.07698627,5.9064063382,0
100392,HYCTBO,Costebelle,43.1051823508,6.1216124029,0
100251,GAPRON,Terre Promise,43.1076192288,5.988865454,0
100252,GAPROS,Terre Promise,43.1075409421,5.9877311839,0
101651,TOPRON,Pt des Routes,43.1370579726,5.9092374226,0
101652,TOPROS,Pt des Routes,43.1369421076,5.909475842,0
101664,TOPVIN,Providence,43.1263819208,5.9599238897,0
101665,TOPVIS,Providence,43.1261307594,5.9596379407,0
101653,TOPRUN,Pruneau,43.1202833589,5.9538185754,0
101232,TOBARN,Baratier,43.1124534926,5.9678119961,0
102103,VAMNPO,Minimes,43.1428781985,5.9795340035,0
101587,TOPASN,Passerelle,43.1291042664,5.8963540478,0
101588,TOPASS,Passerelle,43.1290439084,5.8965467768,0
101659,TOPSUO,Pt de Suve,43.1172778844,5.9809581539,0
101655,TOPSJN,Pt St Jean,43.1248110522,5.9561045913,0
101610,TOPESN,Pt Escaillon,43.1285300594,5.8914315517,0
101611,TOESCS,Escaillon,43.1286064845,5.8923817429,0
102102,VAMNPE,Minimes,43.1429527285,5.9797229612,0
100429,HYGUIN,Guiteco,43.1322130662,6.0849385798,0
101233,TOBARS,Baratier,43.1123266036,5.9678408179,0
101413,TOFOCN,Foch,43.1273453593,5.9202745953,0
101414,TOFOCS,Foch,43.1272943429,5.9204555991,0
101667,TOPVXS,Pelvoux,43.1510959636,5.9095443323,0
101666,TOPVXN,Pelvoux,43.1511681736,5.9095365342,0
101668,TOPYRN,Pyrotechnie,43.1186035618,5.8840293917,0
101669,TOPYRS,Pyrotechnie,43.1186483174,5.8853948589,0
100849,SEEBRE,Ecole Brassens,43.1118886312,5.8593844342,0
101234,TOBBSE,Barbès,43.1354478128,5.916260086,0
101748,TOTOUS,Touraine,43.1239098798,5.9636113442,0
101692,TOROEN,Roche (Serinette),43.1182505634,5.9639421759,0
101693,TOROES,Roche (Serinette),43.1184416467,5.9644084758,0
100851,SEEJRN,Ecole JJ Rousseau,43.0838337969,5.8707469605,0
101082,SIEMBE,Embarcadère (Brusc),43.075523748,5.8019213861,0
101673,TORDHE,Rodeilhac,43.1358527787,5.9119379759,0
101674,TORDHO,Rodeilhac,43.1346109493,5.9119590454,0
102122,SIENTS,Entreprises,43.1172582534,5.8453746007,0
100933,SEMTTE,Manette,43.0822835648,5.8574629018,0
101678,TOREGN,Régimbaud,43.1237933267,5.9510801658,0
101235,TOBBSO,Barbès,43.1347036782,5.9164593923,0
101679,TOREGS,Régimbaud,43.123665008,5.9506178124,0
100975,SEREGS,Régina,43.0989394925,5.9012509588,0
100974,SEREGN,Régina,43.0990072033,5.9011078806,0
101556,TOMREE,Mon Repos,43.1444651981,5.9017753785,0
101557,TOMREO,Mon Repos,43.1438038838,5.9016484174,0
100253,GARESN,Résédas,43.1330865647,6.0207907048,0
100254,GARESS,Résédas,43.1331021232,6.0211232804,0
101680,TORESE,Réservoir,43.1331596495,5.9539036014,0
101681,TORESO,Réservoir,43.1328243909,5.9537106004,0
100669,OLRESO,Résistance,43.1341900149,5.8460019637,0
100785,SEBARO,Barel,43.1067747428,5.8764882662,0
100667,OLRESE,Résistance,43.1355597036,5.8470187904,0
100668,OLRESN,Résistance,43.1351551961,5.845913478,0
101779,VABOSO,Bosquette,43.1370730107,5.9775329931,0
100124,CRRUYN,La Ruytèle,43.1316011853,6.0547126194,0
100941,SEOISS,Oiseaux,43.0991878449,5.8954000346,0
101672,TORCHO,Richard,43.1299284731,5.9424892667,0
101686,TORIGE,Rigoumel,43.1432871486,5.9077205714,0
101687,TORIGO,Rigoumel,43.1429216121,5.9081645949,0
101688,TORIPN,Ripelle,43.1653534031,5.936392414,0
100784,SEBARE,Barel,43.106972271,5.8767704443,0
101689,TORIPS,Ripelle,43.1652114451,5.9363343794,0
100981,SERIVS,Rives d'Or,43.0811292505,5.893780971,0
100979,SERIVN,Rives d'Or,43.0812275317,5.8935293986,0
100980,SERIVO,Rives d'Or,43.0816714598,5.8942438749,0
100978,SERIVE,Rives d'Or,43.0818085525,5.8944486468,0
101886,TORN8N,RN8,43.1282260427,5.8824124752,0
101690,TORN8O,RN8,43.1285957932,5.8812933367,0
100956,SEPEMS,Ponton Espace Marine,43.1030896973,5.8911001074,0
101283,TOBRTN,Barentine,43.124927469,5.9641052361,0
101691,TORN8S,RN8,43.1281445183,5.8827021392,0
100670,OLRNAS,Rue Nationale,43.137954887,5.8485771974,0
100486,HYMVNS,Mauvanne,43.1271726541,6.1898525141,0
100255,GAROBN,Robespierre,43.1350493027,6.0249200511,0
100256,GAROBS,Robespierre,43.1351550147,6.0252461392,0
100447,HYJDAS,Jean d'Agrève,43.0820333779,6.1550007872,0
100446,HYJDAN,Jean d'Agrève,43.0821077819,6.1549320965,0
100927,SEMOUE,Moulières (La Seyne),43.0806548957,5.8588600634,0
100258,GAROCO,Rocher (La Garde),43.1271735223,6.0133023015,0
101284,TOBRTS,Barentine,43.124991826,5.962734094,0
100257,GAROCE,Rocher (La Garde),43.1274335154,6.0135890633,0
101695,TORORN,Rochers (Petit Bois),43.1083641097,5.9618829351,0
101696,TORORS,Rochers (Petit Bois),43.1082681509,5.9620610158,0
100259,GAROLN,Rolland,43.1186386065,6.0056728477,0
100260,GAROLS,Rolland,43.1184670814,6.0054286393,0
100982,SEROLO,Rollin,43.1033224133,5.8799947856,0
101555,TOMOUS,Mourillon,43.1082740164,5.9520327466,0
100262,GAROOO,Roosevelt,43.1213390797,6.0119104255,0
100261,GAROOE,Roosevelt,43.1219905914,6.0123203868,0
101776,VAAVUN,Av de l'Université,43.137388075,6.0068195538,0
102105,CAPASO,Paradis Sud,43.1001288935,6.0666598044,0
101675,TORDNE,Rouden,43.1398707263,5.9130842306,0
101676,TORDNO,Rouden,43.1395859742,5.9129928398,0
100844,SECXRO,Croix Rouge,43.0839030743,5.8958295344,0
100843,SECXRE,Croix Rouge,43.0841723455,5.8961161052,0
100674,OLROUO,Roustidou,43.1299050011,5.8442057673,0
100673,OLROUE,Roustidou,43.1299556474,5.844307085,0
100963,SEPLNN,Plaines,43.0837598296,5.8754414996,0
