from_stop_id,to_stop_id,transfer_type,min_transfer_time
101078,101043,0,
100641,100608,0,
101079,101043,0,
101689,101688,0,
101606,101392,0,
101446,101392,0,
101607,101392,0,
101393,101392,0,
101445,101392,0,
102149,101392,0,
102010,101392,0,
100596,100468,0,
100579,100468,0,
100553,100468,0,
100545,100468,0,
100581,100468,0,
100544,100468,0,
100964,100963,0,
100543,100468,0,
101015,100963,0,
101017,100963,0,
100546,100468,0,
100554,100468,0,
100580,100468,0,
101635,101565,0,
101864,100620,0,
101400,101399,0,
101636,101565,0,
101633,101565,0,
101634,101565,0,
101834,101565,0,
101606,101386,0,
101672,101386,0,
101563,101386,0,
101638,101637,0,
101607,101386,0,
101823,101777,0,
101387,101386,0,
101702,101537,3,
101880,101318,0,
101329,101318,0,
101553,101318,0,
101319,101318,3,
101595,101297,0,
101616,101537,0,
101402,101297,3,
101701,101537,3,
101401,101297,3,
101594,101297,0,
101617,101537,0,
101878,101318,0,
101879,101318,0,
102155,101537,3,
101697,101537,3,
101298,101297,3,
102068,100975,0,
101669,101568,0,
101569,101568,0,
101793,101792,0,
101000,100999,0,
101802,101792,0,
101799,101792,0,
101796,101792,0,
101801,101792,0,
101795,101792,0,
101800,101792,0,
101794,101792,0,
101823,101792,0,
101462,100631,0,
101463,100631,0,
100632,100631,0,
100633,100631,0,
101405,100631,0,
101486,101485,3,
101406,100631,0,
101746,101745,0,
102123,102122,3,
102124,102122,3,
102181,100717,0,
102093,101844,0,
102166,100474,0,
100475,100474,0,
101846,101844,0,
101847,101844,0,
100476,100474,0,
101845,101844,0,
100998,100895,0,
100276,100271,0,
100997,100895,0,
100275,100271,0,
100272,100271,0,
100896,100895,0,
101266,101265,0,
101411,101265,0,
100904,100894,0,
101377,101265,0,
101172,101170,3,
101309,101265,0,
101173,101170,3,
101376,101265,0,
100967,100894,0,
101177,101170,3,
101582,101265,0,
101581,101265,0,
101412,101265,0,
100571,100570,0,
101178,101170,3,
100903,100894,0,
101308,101265,0,
102151,102040,0,
101687,101488,0,
101560,101488,0,
102070,102040,0,
101561,101488,0,
101686,101488,0,
101730,101703,0,
101710,101483,3,
101704,101703,0,
101853,101703,0,
101729,101703,0,
101764,101703,0,
101709,101483,3,
101392,101383,0,
101088,101036,0,
101680,101383,3,
101397,101383,0,
101053,101036,0,
101446,101383,0,
101158,101157,0,
102149,101383,0,
102010,101383,0,
101087,101036,0,
101086,101036,0,
101681,101383,0,
101393,101383,0,
101052,101036,0,
101445,101383,3,
100282,100281,0,
102095,102094,0,
102162,101843,0,
101038,101037,0,
102163,101843,0,
100060,100059,0,
100101,100100,0,
100417,100416,0,
100424,100416,0,
102114,100416,0,
101945,100100,0,
100676,100675,0,
101656,101654,0,
101655,101654,0,
101134,101133,0,
101792,101791,0,
101793,101791,0,
101802,101791,0,
101799,101791,0,
101796,101791,0,
101801,101791,0,
101795,101791,0,
101800,101791,0,
101794,101791,0,
101854,101615,0,
101853,101615,0,
101663,101615,0,
101726,101615,0,
101727,101615,0,
101411,101266,0,
101994,101885,0,
101377,101266,0,
101309,101266,0,
101581,101266,0,
101412,101266,0,
101308,101266,0,
101376,101266,0,
101886,101885,0,
101995,101885,0,
101582,101266,0,
101348,101346,0,
101438,101346,0,
101439,101346,0,
100685,100668,0,
101347,101346,0,
100696,100668,0,
100684,100668,0,
100669,100668,0,
101825,101346,0,
100697,100668,0,
101973,101969,0,
102052,101969,0,
101974,101969,0,
101674,101673,3,
101750,101673,0,
101749,101673,0,
100999,100811,0,
101000,100811,0,
100924,100811,0,
100923,100811,0,
100281,100142,0,
102029,101785,0,
100282,100142,0,
100199,100142,0,
101807,101785,0,
101187,101186,0,
101769,101700,0,
101768,101700,0,
100198,100142,3,
100203,100142,0,
101790,101785,0,
101808,101785,0,
101188,101186,0,
100200,100142,0,
102135,101659,0,
100197,100142,3,
100161,100142,0,
100204,100142,0,
101753,101700,0,
101754,101700,0,
101321,101320,0,
101395,101320,0,
101396,101320,0,
101496,101320,0,
101495,101320,3,
101443,101235,0,
101442,101235,0,
101749,101235,0,
101581,101411,0,
101548,101411,0,
101412,101411,0,
100524,100523,0,
101582,101411,0,
